,BTC-USD,cash,value
2017-01-26,0.277224331197,0.722775668803,11335.052168
2017-01-27,0.276726236976,0.723273763024,11343.4375732
2017-01-30,0.296116738764,0.703883261236,11352.3117222
2017-01-31,0.348320494252,0.651679505748,11514.7732291
2017-02-01,0.375290438961,0.624709561039,11584.6153238
2017-02-02,0.415756782031,0.584243217969,11679.1177902
2017-02-03,0.422748002076,0.577251997924,11722.7757482
2017-02-06,0.430277777778,0.569722222222,11779.6575961
2017-02-07,0.481128864194,0.518871135806,11901.7167409
2017-02-08,0.483333333333,0.516666666667,11934.0506612
2017-02-09,0.374166666667,0.625833333333,11513.6659514
2017-02-10,0.386388888889,0.613611111111,11595.5578855
2017-02-13,0.387185637473,0.612814362527,11585.4219568
2017-02-14,0.428409442647,0.571590557353,11643.0342146
2017-02-15,0.425277777778,0.574722222222,11642.2200058
2017-02-16,0.442777777778,0.557222222222,11758.5315765
2017-02-17,0.491568730686,0.508431269314,11845.6737883
2017-02-20,0.53590952512,0.46409047488,12000.9788236
2017-02-21,0.608298352056,0.391701647944,12246.9807948
2017-02-22,0.611158903258,0.388841096742,12256.4377941
2017-02-23,0.694287327186,0.305712672814,12598.6203633
2017-02-24,0.704695081049,0.295304918951,12632.5634636
2017-02-27,0.713894218064,0.286105781936,12725.758174
2017-02-28,0.715318531618,0.284681468382,12729.0867443
2017-03-01,0.7825,0.2175,12983.1614948
2017-03-02,0.865555555556,0.134444444444,13253.745251
2017-03-03,0.909793216655,0.0902067833454,13506.9369606
2017-03-06,0.876010561746,0.123989438254,13445.8036346
2017-03-07,0.775,0.225,13034.3999946
2017-03-08,0.573333333333,0.426666666667,12327.0180222
2017-03-09,0.666750989519,0.333249010481,12598.2839569
2017-03-10,0.510277777778,0.489722222222,12038.1338499
2017-03-13,0.717149980086,0.282850019914,12728.4833531
2017-03-14,0.719538465206,0.280461534794,12764.9362609
2017-03-15,0.732081778892,0.267918221108,12840.6857375
2017-03-16,0.563888888889,0.436111111111,12232.5994806
2017-03-17,0.400277777778,0.599722222222,11634.1508529
